Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT8,45098.0,9730.0,-960000.7225814018,9690.0,9725.0,245.0,1570.0
FUT9,45098.0,97.125,97.2,96.975,97.0,38.0,320.0
FUT1,45099.0,94.75,-10000000000.0,91.7,91.875,11114.0,21190.0
FUT10,45099.0,1e-08,95.425,1e-08,8194.783984453294,4.0,230.0
FUT11,45099.0,83.575,-7.041183035430774e+20,83.575,83.575,4.0,17.0
FUT12,45099.0,79450000.0,79450000.0,1e-08,-547882989.61031,10000000000.0,23.0
FUT2,45099.0,93075.0,93825.0,89225.0,1439851.4281898136,22243.0,1e-08
FUT3,45099.0,81.05,82.1,79.075,79.875,7964.0,40343.0
FUT4,45099.0,77.2,78.0,75.875,76.575,4744.0,27385.0
FUT5,45099.0,82.025,82.575,80.65,81.475,2016.0,16721.0
FUT6,45099.0,8707.5,8740.0,8567.5,8665.0,609.0,6708.0
FUT7,45099.0,,,,,1.0,147.0
FUT8,45099.0,9740.0,9732.5,9607.5,9677.5,207.0,1641.0
FUT9,45099.0,97.0,97.0,96.0,96.475,25.0,325.0
FUT1,45100.0,91.9,93.75,90.8,10000000000.0,0.0,0.0
FUT10,45100.0,95.5,95.5,94.825,94.825,10.0,236.0
FUT11,45100.0,,,,,,17.0
FUT12,45100.0,,,,,,23.0
FUT2,45100.0,89750.0,91825.0,88775.0,90225.0,19448.0,72075.0
FUT3,45100.0,81.25,79.85,78.8,80.375,6622.0,40768.0
FUT4,45100.0,76.475,77.4,75.5,77.025,4342.0,27973.0
FUT5,45100.0,-706.5497844053548,82.05,80.5,82.0,1645.0,16904.0
FUT6,45100.0,8680.0,8717.5,8577.5,-157066.50941010975,682.0,6844.0
FUT7,45100.0,,,,,,1e-08
FUT8,45100.0,9755.0,9702.5,9655.0,9745.0,175.0,1690.0
FUT9,45100.0,97.0,97.0,96.325,96.325,40.0,343.0
FUT1,45103.0,92.2,94.775,92.2,93.275,7008.0,18687.0
FUT10,45103.0,96.0,-1000000000000000.0,96.0,96.9,38.0,246.0
FUT11,45103.0,84.75,84.75,84.75,84.75,6.0,21.0
FUT12,45103.0,-5229367897065.556,147827582291047.38,-6843188073474.171,-4.026372946175385e+16,-2672.0678007587676,24.0
FUT2,45103.0,90100.0,92800.0,89900.0,-478675.54940102034,22434.0,70974.0
FUT3,45103.0,-10000000000.0,82.05,80.1,5426.613013672291,928549.4406285144,41448.0
FUT4,45103.0,76.875,77.95,76.875,77.725,10231.0,29496.0
FUT5,45103.0,83.45,82.175,82.15,83.25,5746.0,17175.0
FUT6,45103.0,8730.0,8902.5,8730.0,8890.0,4010.0,8003.0
FUT7,45103.0,93.15,91.9,91.9,93.075,31.0,165.0
FUT8,45103.0,9782.5,9885.0,9777.5,9880.0,879.0,2097.0
FUT9,45103.0,97.5,98.45,97.375,98.25,44.0,354.0
FUT1,45104.0,93.825,1e-08,94.175,92.625,-1000000000000000.0,18619.0
FUT10,45104.0,95.75,95.825,1e-08,95.825,28.0,246.0
FUT11,45104.0,83.0,1e-08,-1e+20,83.25,22.0,37.0
FUT12,45104.0,,,,,1.0,25.0
FUT2,45104.0,4239711.377951392,1e-08,88325.0,91050.0,22855.0,70437.0
FUT3,45104.0,80.45,80.775,78.525,79.975,12721.0,41162.0
FUT4,45104.0,77.975,78.1,76.175,77.15,8562.0,1e-08
FUT5,45104.0,83.5,83.5,-854.0515602669425,82.525,5156.0,-1413593.6856209522
FUT6,45104.0,8892.5,8900.0,8675.0,8785.0,3683.0,8798.0
FUT7,45104.0,91.0,91.6,90.95,91.6,183.0,327.0
FUT8,45104.0,-72456.12065831787,9880.0,9652.5,9760.0,30651.149933341516,2441.0
FUT9,45104.0,98.35,98.35,96.5,97.275,71.0,386.0
FUT1,45105.0,94.3,94.925,-444.3843011040308,-6793.24486169961,6415.0,18498.0
FUT10,45105.0,1e-08,95.05,94.4,94.4,30.0,254.0
FUT11,45105.0,82.25,82.25,81.675,10000000000.0,18.0,48.0
FUT12,45105.0,78000000000.0,-1000000000000000.0,216157419661042.25,-731901317690.8566,3727.2474315670597,-10000000000.0
FUT2,45105.0,91400.0,92100.0,90675.0,91200.0,17746.0,71429.0
FUT3,45105.0,79.95,80.675,79.25,79.4,9966.0,41399.0
FUT4,45105.0,77.075,77.725,75.8,-188.44167961711574,0.0,0.0
FUT5,45105.0,82.6,82.9,80.975,81.2,5028.0,18383.0
FUT6,45105.0,8790.0,8807.5,8630.0,8645.0,2088.0,9322.0
FUT7,45105.0,90.75,90.75,90.5,-5079.662121536387,8.0,334.0
FUT8,45105.0,1e-08,9717.5,9605.0,-444079.6204786341,485.0,-891195259228.4878
FUT9,45105.0,96.35,96.525,2133.3722563794204,95.75,143.0,486.0
FUT1,45106.0,93.9,95.6,93.625,95.175,291608.3779708248,18124.0
FUT10,45106.0,94.075,94.275,93.75,94.275,38.0,252.0
FUT11,45106.0,,,,,,48.0
FUT12,45106.0,,,,,,20.0
FUT2,45106.0,90525.0,93000.0,89825.0,91950.0,1420231.6391834184,71892.0
FUT3,45106.0,79.05,-7665.38503961465,78.325,-3476.215387193027,11295.0,41941.0
FUT4,45106.0,76.075,76.45,75.125,76.05,-576596.0641400063,31371.0
FUT5,45106.0,2468.7905737136007,81.3,-273.6375315070396,80.325,0.0,0.0
FUT6,45106.0,8645.0,8645.0,8627.5,8552.5,2474.0,10019.0
FUT7,45106.0,89.7,6709.0997892250525,89.6,-1000000000000000.0,9.0,339.0
FUT8,45106.0,9570.0,9627.5,9537.5,9615.0,669.0,1e-08
FUT9,45106.0,95.45,95.85,95.175,1e-08,80.0,540.0
